Index,From,To,Initial Balance,Final Balance,Profit (%),Benchmark (%),Benchmark Beaten?,Total Trades,Long Trades,Short Trades,Win Rate (%)
1,2020-01-01 00:00:00,2020-03-31 23:59:59,1000.0,1765.29,76.53,2.94,Yes,7,6,1,57.14
2,2020-04-01 00:00:00,2020-06-30 23:59:59,1000.0,1372.42,37.24,70.92,No,10,8,2,50.0
3,2020-07-01 00:00:00,2020-09-30 23:59:59,1000.0,1530.55,53.05,59.84,No,10,8,2,40.0
4,2020-10-01 00:00:00,2020-12-31 23:59:59,1000.0,1880.83,88.08,105.21,No,8,7,1,75.0
5,2021-01-01 00:00:00,2021-03-31 23:59:59,1000.0,1185.22,18.52,161.78,No,3,3,0,33.33
6,2021-04-01 00:00:00,2021-06-30 23:59:59,1000.0,1494.56,49.46,17.56,Yes,2,2,0,100.0
7,2021-07-01 00:00:00,2021-09-30 23:59:59,1000.0,1462.84,46.28,33.55,Yes,8,7,1,25.0
8,2021-10-01 00:00:00,2021-12-31 23:59:59,1000.0,1117.01,11.7,21.81,No,6,5,1,66.67
9,2022-01-01 00:00:00,2022-03-31 23:59:59,1000.0,1042.21,4.22,-11.83,Yes,7,5,2,57.14
10,2022-04-01 00:00:00,2022-06-30 23:59:59,1000.0,887.68,-11.23,-67.54,Yes,12,10,2,25.0
11,2022-07-01 00:00:00,2022-09-30 23:59:59,1000.0,1095.5,9.55,21.24,No,17,9,8,47.06
12,2022-10-01 00:00:00,2022-12-31 23:59:59,1000.0,1000.01,0.0,-9.84,Yes,13,10,3,30.77
13,2023-01-01 00:00:00,2023-03-31 23:59:59,1000.0,1752.01,75.2,52.51,Yes,8,6,2,75.0
14,2023-04-01 00:00:00,2023-06-30 23:59:59,1000.0,1033.57,3.36,6.09,No,8,6,2,50.0
15,2023-07-01 00:00:00,2023-09-30 23:59:59,1000.0,835.02,-16.5,-13.63,No,7,6,1,14.29
16,2023-10-01 00:00:00,2023-12-31 23:59:59,1000.0,1296.15,29.62,37.62,No,11,8,3,54.55
